Price,Adj Close,Close,High,Low,Open,Volume,RSI,MACD,SMA20,SMA50,Return_20D,Volatility
Ticker,AMZN,,AMZN,AMZN,AMZN,AMZN,,,,,,
Date,,,,,,,,,,,,
2018-01-02,59.45050048828125,59.45050048828125,59.5,58.5255012512207,58.599998474121094,53890000,,,,,,
2018-01-03,60.209999084472656,60.209999084472656,60.27450180053711,59.415000915527344,59.415000915527344,62176000,,,,,,
2018-01-04,60.47949981689453,60.47949981689453,60.79349899291992,60.233001708984375,60.25,60442000,,,,,,
2018-01-05,61.457000732421875,61.45700073242188,61.457000732421875,60.5,60.8754997253418,70894000,,,,,,
2018-01-08,62.34349822998047,62.34349822998047,62.65399932861328,61.60150146484375,61.79999923706055,85590000,,,,,,
2018-01-09,62.6349983215332,62.6349983215332,62.96649932861328,62.0880012512207,62.845001220703125,73226000,,,,,,
2018-01-10,62.71649932861328,62.71649932861328,62.71649932861328,61.86149978637695,62.25749969482422,53720000,,,,,,
2018-01-11,63.83399963378906,63.83399963378906,63.8385009765625,62.823001861572266,62.98699951171875,62500000,,,,,,
2018-01-12,65.26000213623047,65.26000213623047,65.28800201416016,63.669498443603516,63.669498443603516,108874000,,,,,,
2018-01-16,65.24299621582031,65.24299621582031,66.99700164794922,64.61499786376953,66.1500015258789,144414000,,,,,,
2018-01-17,64.75,64.75,65.69999694824219,64.04399871826172,65.61199951171875,105076000,,,,,,
2018-01-18,64.66600036621094,64.66600036621094,65.2300033569336,64.20099639892578,64.69750213623047,80538000,87.17998697902544,,,,,
2018-01-19,64.72899627685547,64.72899627685547,65.6500015258789,64.64949798583984,65.5999984741211,91570000,87.3772819724056,,,,,
2018-01-22,66.3655014038086,66.3655014038086,66.37249755859375,64.83300018310547,64.8584976196289,82802000,91.17627965679571,,,,,
2018-01-23,68.12699890136719,68.12699890136719,68.24500274658203,66.86699676513672,66.90450286865234,103386000,93.45844259616213,,,,,
2018-01-24,67.87550354003906,67.87550354003906,69.40799713134766,66.9000015258789,68.74099731445312,136150000,89.88398726036516,,,,,
2018-01-25,68.89749908447266,68.89749908447266,68.91699981689453,67.88099670410156,68.4000015258789,95060000,91.33440593453471,,,,,
2018-01-26,70.10250091552734,70.10250091552734,70.12650299072266,69.04550170898438,69.60050201416016,97146000,92.66905572122451,,,,,
2018-01-29,70.88400268554688,70.88400268554688,71.56950378417969,70.02200317382812,70.45899963378906,114038000,93.38106261072257,,,,,
